"County 
FIPS 
code [1]",Size of adjusted gross income by county,
,,Amount
,,(19)
000,TEXAS,"1,262,143,928"
000,Under $1,-13826275
000,"$1 under $10,000",7144820
000,"$10,000 under $25,000",46389482
000,"$25,000 under $50,000",118402710
000,"$50,000 under $75,000",120886796
000,"$75,000 under $100,000",103668658
000,"$100,000 under $200,000",282180543
000,"$200,000 or more",597297194
,,
001,Anderson County,"1,220,139"
001,Under $1,-19299
001,"$1 under $10,000",11349
001,"$10,000 under $25,000",74651
001,"$25,000 under $50,000",200613
001,"$50,000 under $75,000",181924
001,"$75,000 under $100,000",161775
001,"$100,000 under $200,000",334573
001,"$200,000 or more",274553
,,
003,Andrews County,"667,437"
003,Under $1,-6022
003,"$1 under $10,000",3529
003,"$10,000 under $25,000",18578
003,"$25,000 under $50,000",53432
003,"$50,000 under $75,000",68971
003,"$75,000 under $100,000",78246
003,"$100,000 under $200,000",243150
003,"$200,000 or more",207553
,,
005,Angelina County,"2,542,297"
005,Under $1,-27884
005,"$1 under $10,000",23176
005,"$10,000 under $25,000",148277
005,"$25,000 under $50,000",355537
005,"$50,000 under $75,000",330870
005,"$75,000 under $100,000",283286
005,"$100,000 under $200,000",594507
005,"$200,000 or more",834528
,,
007,Aransas County,"1,036,352"
007,Under $1,-20607
007,"$1 under $10,000",8341
007,"$10,000 under $25,000",42047
007,"$25,000 under $50,000",94345
007,"$50,000 under $75,000",92821
007,"$75,000 under $100,000",93494
007,"$100,000 under $200,000",255865
007,"$200,000 or more",470046
,,
009,Archer County,"372,720"
009,Under $1,-10422
009,"$1 under $10,000",2048
009,"$10,000 under $25,000",9898
009,"$25,000 under $50,000",30670
009,"$50,000 under $75,000",37265
009,"$75,000 under $100,000",38940
009,"$100,000 under $200,000",117681
009,"$200,000 or more",146640
,,
011,Armstrong County,"64,606"
011,Under $1,-1977
011,"$1 under $10,000",410
011,"$10,000 under $25,000",2111
011,"$25,000 under $50,000",6642
011,"$50,000 under $75,000",7789
011,"$75,000 under $100,000",8280
011,"$100,000 under $200,000",25269
011,"$200,000 or more",16082
,,
013,Atascosa County,"1,438,527"
013,Under $1,-14804
013,"$1 under $10,000",13380
013,"$10,000 under $25,000",86552
013,"$25,000 under $50,000",228166
013,"$50,000 under $75,000",216662
013,"$75,000 under $100,000",179660
013,"$100,000 under $200,000",396738
013,"$200,000 or more",332173
,,
015,Austin County,"1,360,293"
015,Under $1,-26057
015,"$1 under $10,000",8531
015,"$10,000 under $25,000",54027
015,"$25,000 under $50,000",127308
015,"$50,000 under $75,000",125283
015,"$75,000 under $100,000",119308
015,"$100,000 under $200,000",335578
015,"$200,000 or more",616315
,,
017,Bailey County,"137,403"
017,Under $1,-3401
017,"$1 under $10,000",1400
017,"$10,000 under $25,000",9876
017,"$25,000 under $50,000",28372
017,"$50,000 under $75,000",24111
017,"$75,000 under $100,000",17117
017,"$100,000 under $200,000",31600
017,"$200,000 or more",28328
,,
019,Bandera County,"891,152"
019,Under $1,-12520
019,"$1 under $10,000",6424
019,"$10,000 under $25,000",33951
019,"$25,000 under $50,000",91246
019,"$50,000 under $75,000",94924
019,"$75,000 under $100,000",93551
019,"$100,000 under $200,000",263674
019,"$200,000 or more",319902
,,
021,Bastrop County,"3,488,531"
021,Under $1,-22962
021,"$1 under $10,000",24441
021,"$10,000 under $25,000",147505
021,"$25,000 under $50,000",450829
021,"$50,000 under $75,000",471252
021,"$75,000 under $100,000",393430
021,"$100,000 under $200,000",970157
021,"$200,000 or more",1053879
,,
023,Baylor County,"107,626"
023,Under $1,-1921
023,"$1 under $10,000",914
023,"$10,000 under $25,000",5103
023,"$25,000 under $50,000",10458
023,"$50,000 under $75,000",12363
023,"$75,000 under $100,000",12153
023,"$100,000 under $200,000",28285
023,"$200,000 or more",40271
,,
025,Bee County,"642,413"
025,Under $1,-4685
025,"$1 under $10,000",6549
025,"$10,000 under $25,000",43377
025,"$25,000 under $50,000",104199
025,"$50,000 under $75,000",102578
025,"$75,000 under $100,000",78403
025,"$100,000 under $200,000",157949
025,"$200,000 or more",154043
,,
027,Bell County,"10,796,139"
027,Under $1,-80743
027,"$1 under $10,000",86178
027,"$10,000 under $25,000",579024
027,"$25,000 under $50,000",1791054
027,"$50,000 under $75,000",1626759
027,"$75,000 under $100,000",1357878
027,"$100,000 under $200,000",2892723
027,"$200,000 or more",2543266
,,
029,Bexar County,"71,293,000"
029,Under $1,-529800
029,"$1 under $10,000",521026
029,"$10,000 under $25,000",3316720
029,"$25,000 under $50,000",9305285
029,"$50,000 under $75,000",8777390
029,"$75,000 under $100,000",7016728
029,"$100,000 under $200,000",17086210
029,"$200,000 or more",25799441
,,
031,Blanco County,"753,531"
031,Under $1,-13830
031,"$1 under $10,000",3547
031,"$10,000 under $25,000",15608
031,"$25,000 under $50,000",49407
031,"$50,000 under $75,000",54442
031,"$75,000 under $100,000",55290
031,"$100,000 under $200,000",179891
031,"$200,000 or more",409176
,,
033,Borden County,"28,309"
033,Under $1,**
033,"$1 under $10,000",-461
033,"$10,000 under $25,000",432
033,"$25,000 under $50,000",2324
033,"$50,000 under $75,000",2379
033,"$75,000 under $100,000",2858
033,"$100,000 under $200,000",6348
033,"$200,000 or more",14429
,,
035,Bosque County,"605,050"
035,Under $1,-21606
035,"$1 under $10,000",4519
035,"$10,000 under $25,000",26631
035,"$25,000 under $50,000",74136
035,"$50,000 under $75,000",77607
035,"$75,000 under $100,000",74886
035,"$100,000 under $200,000",166332
035,"$200,000 or more",202545
,,
037,Bowie County,"2,711,743"
037,Under $1,-26962
037,"$1 under $10,000",24186
037,"$10,000 under $25,000",150878
037,"$25,000 under $50,000",376879
037,"$50,000 under $75,000",355992
037,"$75,000 under $100,000",316974
037,"$100,000 under $200,000",680058
037,"$200,000 or more",833738
,,
039,Brazoria County,"15,303,851"
039,Under $1,-92468
039,"$1 under $10,000",80621
039,"$10,000 under $25,000",513777
039,"$25,000 under $50,000",1276847
039,"$50,000 under $75,000",1535928
039,"$75,000 under $100,000",1509561
039,"$100,000 under $200,000",5036380
039,"$200,000 or more",5443205
,,
041,Brazos County,"7,588,168"
041,Under $1,-66108
041,"$1 under $10,000",54497
041,"$10,000 under $25,000",328773
041,"$25,000 under $50,000",813068
041,"$50,000 under $75,000",743538
041,"$75,000 under $100,000",651233
041,"$100,000 under $200,000",1829068
041,"$200,000 or more",3234099
,,
043,Brewster County,"319,856"
043,Under $1,-3800
043,"$1 under $10,000",2739
043,"$10,000 under $25,000",14398
043,"$25,000 under $50,000",39032
043,"$50,000 under $75,000",40361
043,"$75,000 under $100,000",35793
043,"$100,000 under $200,000",85633
043,"$200,000 or more",105700
,,
045,Briscoe County,"50,524"
045,Under $1,-3134
045,"$1 under $10,000",400
045,"$10,000 under $25,000",1984
045,"$25,000 under $50,000",5545
045,"$50,000 under $75,000",4718
045,"$75,000 under $100,000",5505
045,"$100,000 under $200,000",11783
045,"$200,000 or more",23723
,,
047,Brooks County,"103,820"
047,Under $1,-1848
047,"$1 under $10,000",2102
047,"$10,000 under $25,000",16239
047,"$25,000 under $50,000",26417
047,"$50,000 under $75,000",20004
047,"$75,000 under $100,000",14657
047,"$100,000 under $200,000",20648
047,"$200,000 or more",5601
,,
049,Brown County,"1,069,724"
049,Under $1,-12225
049,"$1 under $10,000",10123
049,"$10,000 under $25,000",56228
049,"$25,000 under $50,000",155133
049,"$50,000 under $75,000",161159
049,"$75,000 under $100,000",132220
049,"$100,000 under $200,000",271227
049,"$200,000 or more",295859
,,
051,Burleson County,"658,477"
051,Under $1,-17681
051,"$1 under $10,000",5102
051,"$10,000 under $25,000",29628
051,"$25,000 under $50,000",79520
051,"$50,000 under $75,000",81101
051,"$75,000 under $100,000",81275
051,"$100,000 under $200,000",189029
051,"$200,000 or more",210503
,,
053,Burnet County,"2,962,712"
053,Under $1,-39223
053,"$1 under $10,000",13177
053,"$10,000 under $25,000",70372
053,"$25,000 under $50,000",214542
053,"$50,000 under $75,000",230255
053,"$75,000 under $100,000",220950
053,"$100,000 under $200,000",649092
053,"$200,000 or more",1603547
,,
055,Caldwell County,"1,327,570"
055,Under $1,-13646
055,"$1 under $10,000",11723
055,"$10,000 under $25,000",74255
055,"$25,000 under $50,000",231753
055,"$50,000 under $75,000",220746
055,"$75,000 under $100,000",171191
055,"$100,000 under $200,000",319284
055,"$200,000 or more",312264
,,
057,Calhoun County,"623,039"
057,Under $1,-4352
057,"$1 under $10,000",5504
057,"$10,000 under $25,000",32184
057,"$25,000 under $50,000",78006
057,"$50,000 under $75,000",87745
057,"$75,000 under $100,000",73502
057,"$100,000 under $200,000",202219
057,"$200,000 or more",148231
,,
059,Callahan County,"431,942"
059,Under $1,-7844
059,"$1 under $10,000",3693
059,"$10,000 under $25,000",18675
059,"$25,000 under $50,000",55207
059,"$50,000 under $75,000",58732
059,"$75,000 under $100,000",60719
059,"$100,000 under $200,000",133740
059,"$200,000 or more",109020
,,
061,Cameron County,"8,960,256"
061,Under $1,-116733
061,"$1 under $10,000",121295
061,"$10,000 under $25,000",943884
061,"$25,000 under $50,000",1850863
061,"$50,000 under $75,000",1454978
061,"$75,000 under $100,000",986519
061,"$100,000 under $200,000",1945192
061,"$200,000 or more",1774258
,,
063,Camp County,"369,595"
063,Under $1,-3761
063,"$1 under $10,000",3368
063,"$10,000 under $25,000",20905
063,"$25,000 under $50,000",59406
063,"$50,000 under $75,000",52338
063,"$75,000 under $100,000",42981
063,"$100,000 under $200,000",83789
063,"$200,000 or more",110569
,,
065,Carson County,"218,722"
065,Under $1,-4256
065,"$1 under $10,000",1305
065,"$10,000 under $25,000",7332
065,"$25,000 under $50,000",19382
065,"$50,000 under $75,000",21775
065,"$75,000 under $100,000",27910
065,"$100,000 under $200,000",81942
065,"$200,000 or more",63332
,,
067,Cass County,"742,322"
067,Under $1,-15519
067,"$1 under $10,000",7679
067,"$10,000 under $25,000",48187
067,"$25,000 under $50,000",114947
067,"$50,000 under $75,000",116200
067,"$75,000 under $100,000",106356
067,"$100,000 under $200,000",219352
067,"$200,000 or more",145120
,,
069,Castro County,"175,379"
069,Under $1,-15696
069,"$1 under $10,000",1590
069,"$10,000 under $25,000",10022
069,"$25,000 under $50,000",33391
069,"$50,000 under $75,000",31099
069,"$75,000 under $100,000",19438
069,"$100,000 under $200,000",38170
069,"$200,000 or more",57365
,,
071,Chambers County,"2,346,738"
071,Under $1,-11305
071,"$1 under $10,000",10418
071,"$10,000 under $25,000",62540
071,"$25,000 under $50,000",152396
071,"$50,000 under $75,000",196509
071,"$75,000 under $100,000",217392
071,"$100,000 under $200,000",832324
071,"$200,000 or more",886464
,,
073,Cherokee County,"1,346,869"
073,Under $1,-21171
073,"$1 under $10,000",12824
073,"$10,000 under $25,000",84417
073,"$25,000 under $50,000",220249
073,"$50,000 under $75,000",190145
073,"$75,000 under $100,000",169332
073,"$100,000 under $200,000",345811
073,"$200,000 or more",345262
,,
075,Childress County,"145,400"
075,Under $1,-3376
075,"$1 under $10,000",1532
075,"$10,000 under $25,000",8624
075,"$25,000 under $50,000",20604
075,"$50,000 under $75,000",20817
075,"$75,000 under $100,000",22679
075,"$100,000 under $200,000",44627
075,"$200,000 or more",29893
,,
077,Clay County,"346,693"
077,Under $1,-6376
077,"$1 under $10,000",2527
077,"$10,000 under $25,000",13942
077,"$25,000 under $50,000",39086
077,"$50,000 under $75,000",46595
077,"$75,000 under $100,000",50461
077,"$100,000 under $200,000",120667
077,"$200,000 or more",79791
,,
079,Cochran County,"63,096"
079,Under $1,-2763
079,"$1 under $10,000",595
079,"$10,000 under $25,000",3981
079,"$25,000 under $50,000",9963
079,"$50,000 under $75,000",10498
079,"$75,000 under $100,000",8441
079,"$100,000 under $200,000",15030
079,"$200,000 or more",17351
,,
081,Coke County,"99,867"
081,Under $1,-835
