,Name,Mean_Temp,Median_Temp,STD_Temp,Min_Temp,Max_Temp
0,Anderson County,67.22,67.7,0.8729261137118111,66.0,68.0
1,Andrews County,64.92,65.5,1.2794530081249564,63.4,66.2
2,Angelina County,68.52000000000001,68.5,0.7463243262818154,67.8,69.5
3,Aransas County,73.7,74.1,1.0677078252031342,72.3,74.9
4,Archer County,65.86,65.8,1.1458621208504984,64.3,67.2
5,Armstrong County,61.14,60.8,0.99146356463564,60.3,62.7
6,Atascosa County,72.22,72.6,0.9093954035511739,71.1,73.1
7,Austin County,71.62,72.0,1.112205017071939,70.2,72.7
8,Bailey County,59.7,60.1,0.9695359714832632,58.7,60.9
9,Bandera County,68.8,69.1,1.0416333327999838,67.3,69.8
10,Bastrop County,70.67999999999999,71.3,1.2457929201917965,69.1,71.9
11,Baylor County,66.06,66.1,1.1523888232710366,64.4,67.4
12,Bee County,72.82000000000001,73.5,1.1278297743897348,71.5,73.9
13,Bell County,68.64,68.7,1.165332570556577,67.1,69.9
14,Bexar County,71.28,72.0,1.1691877522451206,69.6,72.2
15,Blanco County,68.74,69.2,1.1886967653695384,67.1,69.8
16,Borden County,65.1,65.6,1.305756485720061,63.1,66.5
17,Bosque County,67.74,67.6,0.9181503144910409,66.4,68.7
18,Bowie County,65.76,66.1,0.9154233993076532,64.7,66.8
19,Brazoria County,71.97999999999999,72.0,0.679705818718649,71.2,72.7
20,Brazos County,69.88,70.1,1.0894952959971869,68.6,71.0
21,Brewster County,67.78,68.3,1.1189280584559556,66.3,68.9
22,Briscoe County,62.14,62.0,0.9016651263079914,61.3,63.5
23,Brooks County,75.34,75.9,1.1653325705565818,73.8,76.4
24,Brown County,67.38,67.2,1.0545141061171244,65.8,68.4
25,Burleson County,70.22,70.5,1.1713240371477094,68.8,71.4
26,Burnet County,68.52000000000001,68.7,1.1945710527214382,66.8,69.6
27,Caldwell County,71.46000000000001,72.2,1.312630945848835,69.8,72.7
28,Calhoun County,72.9,73.5,0.972111104761181,71.7,73.8
29,Callahan County,66.1,66.3,1.1768602295939785,64.2,67.2
30,Cameron County,76.2,76.7,1.1789826122551605,74.5,77.4
31,Camp County,66.16,66.5,1.1148990985735001,64.8,67.4
