,Name,Mean_Temp,Median_Temp,STD_Temp,Min_Temp,Max_Temp,Mean_Rain,Median_Rain,STD_Rain,Min_Rain,Max_Rain
0,Anderson County,67.22,67.7,0.8729261137118111,66.0,68.0,45.465999999999994,45.23,10.556186811533792,35.32,62.36
1,Andrews County,64.92,65.5,1.2794530081249564,63.4,66.2,9.704,8.93,1.9901331613738815,8.33,13.14
2,Angelina County,68.52000000000001,68.5,0.7463243262818154,67.8,69.5,52.10799999999999,48.16,14.749668470850455,40.16,76.44
3,Aransas County,73.7,74.1,1.0677078252031342,72.3,74.9,32.44,28.36,12.634589427440847,22.05,54.46
4,Archer County,65.86,65.8,1.1458621208504984,64.3,67.2,28.054,25.93,5.111421524390255,22.46,34.99
5,Armstrong County,61.14,60.8,0.99146356463564,60.3,62.7,19.826,20.55,2.4304485182780566,16.01,22.61
6,Atascosa County,72.22,72.6,0.909395403551174,71.1,73.1,21.496,23.67,6.097473247173784,13.87,28.71
7,Austin County,71.62,72.0,1.112205017071939,70.2,72.7,38.77,36.51,9.716910517237462,27.88,49.41
8,Bailey County,59.7,60.1,0.9695359714832632,58.7,60.9,16.406,17.23,2.174851719083396,13.54,18.94
9,Bandera County,68.8,69.1,1.0416333327999838,67.3,69.8,22.678,21.41,6.471407883915214,13.67,29.33
10,Bastrop County,70.67999999999999,71.3,1.2457929201917963,69.1,71.9,33.226,31.48,6.698819298951124,25.4,42.56
11,Baylor County,66.06,66.1,1.1523888232710366,64.4,67.4,26.254,24.8,3.4480327724660627,22.33,30.67
12,Bee County,72.82000000000001,73.5,1.1278297743897348,71.5,73.9,27.254,24.72,8.433518245667107,21.09,41.97
13,Bell County,68.64,68.7,1.165332570556577,67.1,69.9,28.51,28.25,5.866928497945071,20.68,34.29
14,Bexar County,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
15,Blanco County,68.74,69.2,1.1886967653695384,67.1,69.8,25.089999999999996,28.26,7.908504915595614,13.03,32.76
16,Borden County,65.1,65.6,1.305756485720061,63.1,66.5,16.544,16.66,4.039168231208005,10.59,21.33
17,Bosque County,67.74,67.6,0.9181503144910408,66.4,68.7,32.416,32.32,7.928188948303389,20.15,40.75
18,Bowie County,65.76,66.1,0.9154233993076532,64.7,66.8,53.48199999999999,52.91,5.640289886167198,45.34,60.11
19,Brazoria County,71.97999999999999,72.0,0.679705818718649,71.2,72.7,44.922,37.57,12.071610083166204,35.35,60.87
20,Brazos County,69.88,70.1,1.0894952959971869,68.6,71.0,38.084,34.82,6.731495376214706,32.31,48.12
21,Brewster County,67.78,68.3,1.1189280584559556,66.3,68.9,9.846,10.3,2.133513534055971,6.3,12.08
22,Briscoe County,62.14,62.0,0.9016651263079914,61.3,63.5,20.128,21.04,2.4788041471645155,16.08,22.54
23,Brooks County,75.34,75.9,1.1653325705565818,73.8,76.4,22.102,22.13,3.4639168581246285,18.8,27.66
24,Brown County,67.38,67.2,1.0545141061171244,65.8,68.4,25.677999999999997,25.98,5.3543785820578655,18.01,33.13
25,Burleson County,70.22,70.5,1.1713240371477094,68.8,71.4,36.972,34.09,6.671684195163914,29.84,44.52
26,Burnet County,68.52000000000001,68.7,1.1945710527214382,66.8,69.6,27.548,28.11,5.753717928435491,18.96,33.03
27,Caldwell County,71.46000000000001,72.2,1.312630945848835,69.8,72.7,28.814,25.95,7.835702265910822,20.15,40.76
28,Calhoun County,72.9,73.5,0.972111104761181,71.7,73.8,38.024,35.18,11.100652233089733,28.83,56.29
29,Callahan County,66.1,66.3,1.1768602295939783,64.2,67.2,26.702,26.58,6.009073971919467,18.55,34.56
30,Cameron County,76.2,76.7,1.1789826122551603,74.5,77.4,29.583999999999996,29.74,6.014601399926683,23.57,38.32
31,Camp County,66.16,66.5,1.1148990985735,64.8,67.4,46.85,45.32,6.305116969573206,41.05,57.64
32,Carson County,60.1,59.6,1.1423659658795875,59.0,61.9,20.532,21.22,3.3077515021536916,15.93,23.57
33,Cass County,65.98,66.4,0.9576011695899324,64.9,66.9,53.14,51.97,5.25467410978074,46.39,60.88
34,Castro County,59.52,59.9,1.156287161564982,58.2,61.0,17.212,17.25,2.972510723277546,12.47,20.45
35,Chambers County,71.03999999999999,71.5,0.9889388252060852,69.7,72.0,49.796,46.06,10.85170631744151,39.21,66.24
36,Cherokee County,67.3,67.7,0.7778174593052006,66.2,68.1,49.32,46.33,11.37989015764212,40.72,68.67
37,Childress County,64.12,63.9,0.9884331034521284,63.0,65.7,20.288,20.08,2.751648596750682,16.48,24.13
38,Clay County,65.47999999999999,65.3,1.1344602240713395,64.0,66.8,31.101999999999997,28.54,5.851629687531499,25.01,38.71
39,Cochran County,60.54,60.9,0.9555103348473022,59.5,61.7,14.813999999999998,15.3,1.6048146310399838,12.18,16.45
40,Coke County,66.72,67.1,1.323631368621939,64.7,68.1,19.122,19.37,3.356273230832078,13.82,23.0
41,Coleman County,67.02000000000001,67.0,1.1099549540409273,65.3,68.0,24.576,22.93,5.488249265476195,18.53,33.17
42,Collin County,66.72,66.5,0.936482781475453,65.9,68.2,38.61,39.48,3.6239964128017546,34.03,43.49
43,Collingsworth County,62.34,62.1,0.9736529155710476,61.3,63.9,21.418,21.61,2.270048457632568,17.69,23.73
