Name,Mean_Rain,Median_Rain,STD_Rain,Min_Rain,Max_Rain
Anderson County,45.465999999999994,45.23,10.556186811533793,35.32,62.36
Andrews County,9.704,8.93,1.9901331613738817,8.33,13.14
Angelina County,52.10799999999999,48.16,14.749668470850455,40.16,76.44
Aransas County,32.44,28.36,12.634589427440847,22.05,54.46
Archer County,28.054000000000002,25.93,5.111421524390255,22.46,34.99
Armstrong County,19.826,20.55,2.4304485182780566,16.01,22.61
Atascosa County,21.496000000000002,23.67,6.097473247173784,13.87,28.71
Austin County,38.769999999999996,36.51,9.716910517237462,27.88,49.41
Bailey County,16.406,17.23,2.174851719083396,13.54,18.94
Bandera County,22.678,21.41,6.471407883915214,13.67,29.33
Bastrop County,33.226,31.48,6.698819298951124,25.4,42.56
Baylor County,26.254,24.8,3.4480327724660627,22.33,30.67
Bee County,27.253999999999998,24.72,8.433518245667107,21.09,41.97
Bell County,28.51,28.25,5.866928497945071,20.68,34.29
Bexar County,23.012,22.2,7.944946192391739,12.85,34.98
Blanco County,25.089999999999996,28.26,7.908504915595614,13.03,32.76
Borden County,16.544,16.66,4.039168231208005,10.59,21.33
Bosque County,32.416,32.32,7.928188948303389,20.15,40.75
Bowie County,53.48199999999999,52.91,5.640289886167198,45.34,60.11
Brazoria County,44.922000000000004,37.57,12.071610083166203,35.35,60.87
Brazos County,38.084,34.82,6.731495376214706,32.31,48.12
Brewster County,9.846,10.3,2.133513534055971,6.3,12.08
Briscoe County,20.128,21.04,2.4788041471645155,16.08,22.54
Brooks County,22.102,22.13,3.4639168581246285,18.8,27.66
Brown County,25.677999999999997,25.98,5.3543785820578655,18.01,33.13
Burleson County,36.972,34.09,6.671684195163914,29.84,44.52
Burnet County,27.548000000000002,28.11,5.753717928435491,18.96,33.03
Caldwell County,28.814,25.95,7.835702265910822,20.15,40.76
Calhoun County,38.024,35.18,11.100652233089733,28.83,56.29
Callahan County,26.701999999999998,26.58,6.009073971919467,18.55,34.56
Cameron County,29.583999999999996,29.74,6.014601399926683,23.57,38.32
Camp County,46.85,45.32,6.305116969573206,41.05,57.64
Carson County,20.532,21.22,3.3077515021536916,15.93,23.57
Cass County,53.14,51.97,5.25467410978074,46.39,60.88
Castro County,17.212,17.25,2.972510723277546,12.47,20.45
Chambers County,49.796,46.06,10.85170631744151,39.21,66.24
Cherokee County,49.32,46.33,11.37989015764212,40.72,68.67
Childress County,20.288,20.08,2.751648596750682,16.48,24.13
Clay County,31.101999999999997,28.54,5.851629687531499,25.01,38.71
Cochran County,14.813999999999998,15.3,1.6048146310399838,12.18,16.45
Coke County,19.122,19.37,3.3562732308320786,13.82,23.0
Coleman County,24.576,22.93,5.488249265476195,18.53,33.17
Collin County,38.61,39.48,3.6239964128017546,34.03,43.49
Collingsworth County,21.418,21.61,2.270048457632568,17.69,23.73
Colorado County,38.972,37.79,10.181960518485624,29.71,53.95
Comal County,25.686,26.85,7.727407715398482,15.03,36.12
Comanche County,28.064,29.23,6.469283577027674,17.91,35.4
Concho County,21.874000000000002,22.99,3.6882827982680495,16.28,25.12
Cooke County,36.932,36.51,3.7287826431692146,31.73,41.93
Coryell County,27.663999999999998,28.27,6.800156615843491,17.42,34.14
Cottle County,21.788,22.15,3.611020631345104,16.46,25.72
Crane County,8.736,8.49,1.699891172987259,6.42,11.08
Crockett County,13.134,12.09,1.9725313685718666,11.59,16.21
Crosby County,18.857999999999997,19.22,3.319762039664891,14.25,23.52
Culberson County,10.028,11.34,3.4569596468573365,5.75,13.33
Dallam County,14.772,15.72,3.726750595357838,10.11,19.86
Dallas County,39.442,38.63,4.285670309298185,35.8,46.31
Dawson County,14.703999999999999,15.41,2.956700864138948,10.01,17.61
DeWitt County,32.292,32.64,8.22213293495064,23.25,45.17
Deaf Smith County,16.375999999999998,17.14,4.053816720079978,10.94,22.03
Delta County,46.94199999999999,47.87,4.138184384485544,40.61,51.29
Denton County,34.83,36.95,4.721657547938013,28.76,39.59
Dickens County,21.482,21.76,4.506680596625414,14.61,26.95
Dimmit County,16.259999999999998,14.88,3.5277825896730093,12.82,21.75
Donley County,21.068,22.09,2.555087082664699,17.06,23.36
Duval County,21.222,20.91,3.2872283157699886,16.62,25.54
Eastland County,28.562,27.41,6.398599065420493,19.23,36.05
Ector County,8.565999999999999,8.28,1.7818192949903757,6.74,11.48
Edwards County,18.04,16.91,3.815140888617352,14.01,22.27
El Paso County,7.5680000000000005,7.36,2.7545181066749227,4.66,10.65
Ellis County,39.306,39.02,5.770899409970685,31.06,47.07
Erath County,27.630000000000003,28.21,7.109500685702198,16.38,36.02
Falls County,34.332,35.91,6.1707673752945835,25.78,41.77
Fannin County,43.198,42.45,3.544188200420511,40.35,49.26
Fayette County,36.382,33.6,8.430956054920463,28.04,47.96
Fisher County,20.854000000000003,22.51,4.489613569117058,14.44,24.76
Floyd County,19.302,20.03,3.246655201896254,14.46,22.31
Foard County,23.85,24.65,3.1728457258429685,18.93,27.03
Fort Bend County,42.522000000000006,37.51,10.712640664187333,32.67,54.14
Franklin County,47.152,45.05,6.706308224351159,42.24,58.87
Freestone County,41.0,40.79,7.667180055274561,33.44,52.08
Frio County,18.794,18.45,3.8113488426015265,14.68,24.06
Gaines County,12.052000000000001,13.24,2.7292068444879733,8.17,14.98
Galveston County,46.236000000000004,40.93,11.870911085506457,36.19,64.04
Garza County,18.306,19.61,3.8412276683372983,12.34,22.31
Gillespie County,24.872,25.99,6.3862798247493044,15.76,32.29
Glasscock County,13.482,14.27,3.0946195242711174,9.43,17.22
Goliad County,30.845999999999997,28.32,8.87014825129772,24.45,45.98
Gonzales County,29.086000000000002,29.84,8.920239907087701,18.46,42.61
Gray County,22.904000000000003,22.6,2.7929786966606116,18.64,25.89
Grayson County,39.251999999999995,40.46,3.431598752768162,35.37,42.42
Gregg County,48.864,47.16,10.204799361084962,38.84,65.95
Grimes County,42.71,38.52,9.557873717516884,35.51,58.39
Guadalupe County,27.272000000000002,26.31,9.28851548957098,16.05,41.82
Hale County,18.566,19.42,2.8937138766643824,13.52,20.94
Hall County,20.644,21.15,2.7499690907353846,16.22,23.81
Hamilton County,26.68,26.79,6.535832005184955,16.55,32.91
Hansford County,18.852,20.77,5.183533543828959,10.99,24.22
Hardeman County,22.578,23.02,1.9336933572828974,19.29,24.43
Hardin County,56.54,52.95,13.4559522145406,41.25,77.68
Harris County,45.254,39.76,10.12753573185501,36.42,59.28
Harrison County,52.455999999999996,49.8,11.796206169781877,41.98,72.5
